depth,capacity,measurement,setup_ms,issue_ms,credential_bytes,path_signatures
10,1024,0,3.5543,5.9048,1304,11
10,1024,1,2.6869,7.1995000000000005,1304,11
10,1024,2,2.8389,5.6881,1304,11
10,1024,3,2.5636,5.639,1304,11
10,1024,4,3.072,6.8718,1304,11
10,1024,5,2.6792,6.1764,1304,11
10,1024,6,2.6616,5.335999999999999,1304,11
10,1024,7,2.6580000000000004,6.7462,1304,11
10,1024,8,2.7236,6.4672,1304,11
10,1024,9,2.7083,6.4510000000000005,1304,11
10,1024,10,2.8235,5.2517,1304,11
10,1024,11,2.7205,6.451499999999999,1304,11
10,1024,12,2.5769,7.2064,1304,11
10,1024,13,3.0699,5.8217,1304,11
10,1024,14,2.6619,5.4521,1304,11
10,1024,15,2.7672,5.3715,1304,11
10,1024,16,2.6409,5.202100000000001,1304,11
10,1024,17,2.9862,5.4128,1304,11
10,1024,18,2.7068,5.3272,1304,11
10,1024,19,2.8182,5.6569,1304,11
10,1024,20,2.6725,6.189100000000001,1304,11
10,1024,21,3.6349,5.259200000000001,1304,11
10,1024,22,2.6146,5.1412,1304,11
10,1024,23,3.4125,5.5737,1304,11
10,1024,24,2.7497,6.1047,1304,11
10,1024,25,2.772,5.3662,1304,11
10,1024,26,2.6382,5.9448,1304,11
10,1024,27,2.9207,5.4827,1304,11
10,1024,28,2.6279,6.012,1304,11
10,1024,29,2.6961,5.2563,1304,11
12,4096,0,2.6667,6.4985,1528,13
12,4096,1,2.8827000000000003,6.2591,1528,13
12,4096,2,2.6648,7.698799999999999,1528,13
12,4096,3,2.5778,6.3308,1528,13
12,4096,4,2.7286,8.4727,1528,13
12,4096,5,2.6196,6.4065,1528,13
12,4096,6,3.0736000000000003,6.8245,1528,13
12,4096,7,2.6507,7.450799999999999,1528,13
12,4096,8,2.6033,6.8635,1528,13
12,4096,9,2.6215,7.1255,1528,13
12,4096,10,2.6612,7.1201,1528,13
12,4096,11,3.2457,6.5017,1528,13
12,4096,12,2.5698000000000003,7.5539,1528,13
12,4096,13,2.6997,6.6248000000000005,1528,13
12,4096,14,2.5665,8.7971,1528,13
12,4096,15,2.744,6.3374,1528,13
12,4096,16,4.0358,6.3558,1528,13
12,4096,17,2.6283000000000003,8.126,1528,13
12,4096,18,2.9385000000000003,8.305299999999999,1528,13
12,4096,19,4.468,7.0606,1528,13
12,4096,20,3.0553,8.2796,1528,13
12,4096,21,2.6628,6.910699999999999,1528,13
12,4096,22,2.6633,6.9998,1528,13
12,4096,23,2.9164,8.1141,1528,13
12,4096,24,3.0,6.740399999999999,1528,13
12,4096,25,3.2678,8.5647,1528,13
12,4096,26,4.5355,11.5164,1528,13
12,4096,27,3.5402,6.9048,1528,13
12,4096,28,3.6703,6.686,1528,13
12,4096,29,2.7144,7.524699999999999,1528,13
14,16384,0,3.0167,7.0075,1752,15
14,16384,1,2.7379,8.4041,1752,15
14,16384,2,2.7049000000000003,8.0796,1752,15
14,16384,3,2.6987,7.2541,1752,15
14,16384,4,2.8433,10.1968,1752,15
14,16384,5,3.0170000000000003,9.6369,1752,15
14,16384,6,2.7558,7.173,1752,15
14,16384,7,3.6819,9.0741,1752,15
14,16384,8,2.7743,9.6593,1752,15
14,16384,9,2.8554,9.0732,1752,15
14,16384,10,2.8563,7.0694,1752,15
14,16384,11,2.9144,8.635,1752,15
14,16384,12,2.7749,8.855699999999999,1752,15
14,16384,13,2.7555,7.352799999999999,1752,15
14,16384,14,2.6878,7.9874,1752,15
14,16384,15,2.7421,8.905100000000001,1752,15
14,16384,16,2.7751,7.7416,1752,15
14,16384,17,2.7082,8.1381,1752,15
14,16384,18,2.8031,8.0677,1752,15
14,16384,19,4.0044,8.312800000000001,1752,15
14,16384,20,2.8206,8.2072,1752,15
14,16384,21,2.894,7.185300000000001,1752,15
14,16384,22,3.1794,7.9296,1752,15
14,16384,23,2.7737,9.764,1752,15
14,16384,24,2.708,9.1956,1752,15
14,16384,25,3.105,7.009,1752,15
14,16384,26,2.7858,8.1919,1752,15
14,16384,27,2.7177,9.2397,1752,15
14,16384,28,2.8726,7.1561,1752,15
14,16384,29,2.7928,8.7676,1752,15
16,65536,0,2.7311,10.5646,1976,17
16,65536,1,3.2079,8.845,1976,17
16,65536,2,3.0455,9.967,1976,17
16,65536,3,2.7573,8.5059,1976,17
16,65536,4,2.6809,9.3282,1976,17
16,65536,5,2.6404,8.5177,1976,17
16,65536,6,3.9345,10.0856,1976,17
16,65536,7,3.3884000000000003,9.9497,1976,17
16,65536,8,3.1538,10.3798,1976,17
16,65536,9,2.6587,8.133,1976,17
16,65536,10,3.0191,9.9558,1976,17
16,65536,11,2.7104,9.4654,1976,17
16,65536,12,3.0591,11.2709,1976,17
16,65536,13,2.7478,8.0199,1976,17
16,65536,14,3.2496,8.6162,1976,17
16,65536,15,2.7144,9.4756,1976,17
16,65536,16,2.7044,8.0468,1976,17
16,65536,17,3.5119,9.7609,1976,17
16,65536,18,2.6493,9.4022,1976,17
16,65536,19,2.7075,9.8403,1976,17
16,65536,20,2.6743,8.7535,1976,17
16,65536,21,3.3282,10.0843,1976,17
16,65536,22,2.8881,9.6396,1976,17
16,65536,23,2.7778,8.8635,1976,17
16,65536,24,2.9679,10.0883,1976,17
16,65536,25,3.7432,8.5068,1976,17
16,65536,26,2.698,9.3892,1976,17
16,65536,27,2.6728,9.1122,1976,17
16,65536,28,2.7227,8.211599999999999,1976,17
16,65536,29,2.6804,9.1475,1976,17
18,262144,0,2.9645,10.546399999999998,2200,19
18,262144,1,3.0406,12.0845,2200,19
18,262144,2,3.0235000000000003,10.7779,2200,19
18,262144,3,2.9839,9.3118,2200,19
18,262144,4,3.1676,9.3093,2200,19
18,262144,5,3.036,10.2467,2200,19
18,262144,6,2.9872,10.315,2200,19
18,262144,7,3.019,9.452,2200,19
18,262144,8,3.9501,9.9164,2200,19
18,262144,9,3.0454000000000003,9.7748,2200,19
18,262144,10,3.0014,10.1385,2200,19
18,262144,11,3.5329,11.1645,2200,19
18,262144,12,3.0284,9.6693,2200,19
18,262144,13,3.7892,9.2939,2200,19
18,262144,14,3.1408,10.3689,2200,19
18,262144,15,2.9701,10.3999,2200,19
18,262144,16,2.9901,10.7003,2200,19
18,262144,17,3.3252,9.8686,2200,19
18,262144,18,3.0196,9.4072,2200,19
18,262144,19,3.0498000000000003,9.799499999999998,2200,19
18,262144,20,3.1354,10.7206,2200,19
18,262144,21,2.8863,11.3441,2200,19
18,262144,22,3.0322,10.3552,2200,19
18,262144,23,2.8345,9.3072,2200,19
18,262144,24,3.3816,9.6728,2200,19
18,262144,25,3.0242,10.8819,2200,19
18,262144,26,3.1907,11.8828,2200,19
18,262144,27,3.0334,11.5132,2200,19
18,262144,28,3.1046,9.4839,2200,19
18,262144,29,2.9904,9.0958,2200,19
20,1048576,0,4.2952,10.8279,2424,21
20,1048576,1,4.1234,11.2889,2424,21
20,1048576,2,3.9865,11.3214,2424,21
20,1048576,3,3.9691,12.1816,2424,21
20,1048576,4,4.135599999999999,11.3005,2424,21
20,1048576,5,4.074000000000001,12.2073,2424,21
20,1048576,6,4.0437,12.807,2424,21
20,1048576,7,4.028099999999999,10.6524,2424,21
20,1048576,8,4.12,10.9021,2424,21
20,1048576,9,3.9597,11.2824,2424,21
20,1048576,10,4.0167,11.2525,2424,21
20,1048576,11,4.0341,11.4993,2424,21
20,1048576,12,4.1155,12.435099999999998,2424,21
20,1048576,13,4.054600000000001,11.1097,2424,21
20,1048576,14,4.1519,10.6177,2424,21
20,1048576,15,4.0323,12.1607,2424,21
20,1048576,16,4.3145,10.3054,2424,21
20,1048576,17,4.650399999999999,11.9346,2424,21
20,1048576,18,4.7547,10.0057,2424,21
20,1048576,19,4.6534,11.1415,2424,21
20,1048576,20,5.183,10.4174,2424,21
20,1048576,21,5.2864,10.8837,2424,21
20,1048576,22,4.6064,10.0303,2424,21
20,1048576,23,4.5846,10.587,2424,21
20,1048576,24,4.1848,12.792,2424,21
20,1048576,25,4.6223,11.320200000000002,2424,21
20,1048576,26,4.1309,11.3472,2424,21
20,1048576,27,4.2048,11.1067,2424,21
20,1048576,28,4.100300000000001,10.8984,2424,21
20,1048576,29,4.7054,11.3877,2424,21
