scheme,capacity,rate,revoked,distribution,workload_seed,cover_nodes,public_state_bytes,authority_refresh_ms,verified,measurement,state_semantics,token_bytes
HiddenCover,1048576,0.001,1049,clustered,0.0,21.0,784,0.0969,True,0,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,clustered,1.0,19.0,720,0.0893,True,1,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,clustered,2.0,17.0,656,0.1256,True,2,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,clustered,3.0,19.0,720,0.0866,True,3,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,clustered,4.0,21.0,784,0.085,True,4,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,clustered,5.0,18.0,688,0.128,True,5,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,clustered,6.0,21.0,784,0.0873999999999999,True,6,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,clustered,7.0,23.0,848,0.0969,True,7,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,clustered,8.0,21.0,784,0.1382,True,8,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,clustered,9.0,19.0,720,0.0993,True,9,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,clustered,10.0,20.0,752,0.0905,True,10,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,clustered,11.0,19.0,720,0.0871,True,11,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,clustered,12.0,18.0,688,0.0894,True,12,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,clustered,13.0,21.0,784,0.0975,True,13,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,clustered,14.0,19.0,720,0.0992,True,14,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,clustered,15.0,17.0,656,0.119,True,15,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,clustered,16.0,20.0,752,0.1004,True,16,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,clustered,17.0,20.0,752,0.0937,True,17,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,clustered,18.0,20.0,752,0.0914,True,18,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,clustered,19.0,20.0,752,0.0945,True,19,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,random,0.0,9620.0,307952,8.0668,True,0,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,random,1.0,9511.0,304464,7.8843,True,1,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,random,2.0,9514.0,304560,8.0088,True,2,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,random,3.0,9446.0,302384,7.913200000000001,True,3,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,random,4.0,9509.0,304400,8.5538,True,4,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,random,5.0,9510.0,304432,7.9877,True,5,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,random,6.0,9585.0,306832,8.8842,True,6,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,random,7.0,9494.0,303920,9.5607,True,7,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,random,8.0,9492.0,303856,8.774600000000001,True,8,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,random,9.0,9600.0,307312,8.2683,True,9,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,random,10.0,9598.0,307248,8.1799,True,10,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,random,11.0,9510.0,304432,7.744400000000001,True,11,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,random,12.0,9452.0,302576,7.8614,True,12,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,random,13.0,9521.0,304784,7.9048,True,13,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,random,14.0,9576.0,306544,8.0012,True,14,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,random,15.0,9480.0,303472,8.009799999999998,True,15,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,random,16.0,9458.0,302768,8.848099999999999,True,16,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,random,17.0,9486.0,303664,9.7174,True,17,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,random,18.0,9522.0,304816,9.6594,True,18,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,random,19.0,9432.0,301936,9.7274,True,19,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,dispersed,0.0,10440.0,334192,10.1147,True,0,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,dispersed,1.0,10440.0,334192,10.2646,True,1,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,dispersed,2.0,10440.0,334192,9.6773,True,2,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,dispersed,3.0,10440.0,334192,9.6885,True,3,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,dispersed,4.0,10440.0,334192,9.9437,True,4,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,dispersed,5.0,10440.0,334192,9.855300000000002,True,5,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,dispersed,6.0,10440.0,334192,10.2317,True,6,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,dispersed,7.0,10440.0,334192,10.5115,True,7,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,dispersed,8.0,10440.0,334192,10.1352,True,8,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,dispersed,9.0,10440.0,334192,9.6078,True,9,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,dispersed,10.0,10440.0,334192,9.6946,True,10,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,dispersed,11.0,10440.0,334192,10.0271,True,11,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,dispersed,12.0,10440.0,334192,9.4549,True,12,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,dispersed,13.0,10440.0,334192,10.1752,True,13,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,dispersed,14.0,10440.0,334192,12.5445,True,14,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,dispersed,15.0,10440.0,334192,9.2674,True,15,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,dispersed,16.0,10440.0,334192,10.8767,True,16,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,dispersed,17.0,10440.0,334192,9.1349,True,17,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,dispersed,18.0,10440.0,334192,9.0397,True,18,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.001,1049,dispersed,19.0,10440.0,334192,9.4956,True,19,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,clustered,0.0,19.0,720,0.4255,True,0,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,clustered,1.0,19.0,720,0.3777,True,1,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,clustered,2.0,24.0,880,0.4063,True,2,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,clustered,3.0,20.0,752,0.4623,True,3,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,clustered,4.0,16.0,624,0.4061,True,4,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,clustered,5.0,21.0,784,0.4063,True,5,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,clustered,6.0,16.0,624,0.5963999999999999,True,6,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,clustered,7.0,19.0,720,0.4057,True,7,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,clustered,8.0,22.0,816,0.4034999999999999,True,8,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,clustered,9.0,16.0,624,0.4034999999999999,True,9,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,clustered,10.0,23.0,848,0.4221,True,10,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,clustered,11.0,20.0,752,0.4037,True,11,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,clustered,12.0,23.0,848,0.406,True,12,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,clustered,13.0,18.0,688,0.4395,True,13,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,clustered,14.0,21.0,784,0.416,True,14,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,clustered,15.0,19.0,720,0.4027,True,15,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,clustered,16.0,21.0,784,0.4308,True,16,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,clustered,17.0,23.0,848,0.4022,True,17,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,clustered,18.0,25.0,912,0.4054,True,18,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,clustered,19.0,21.0,784,0.719,True,19,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,random,0.0,60768.0,1944688,40.9286,True,0,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,random,1.0,60723.0,1943248,41.3306,True,1,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,random,2.0,60849.0,1947280,53.4863,True,2,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,random,3.0,60780.0,1945072,41.659,True,3,authenticated Complete-Subtree Cover,
