scheme,capacity,rate,revoked,distribution,workload_seed,cover_nodes,public_state_bytes,authority_refresh_ms,verified
HiddenCover,1048576,0.001,1049,clustered,0,21,784,0.0969,true
HiddenCover,1048576,0.001,1049,clustered,1,19,720,0.0893,true
HiddenCover,1048576,0.001,1049,clustered,2,17,656,0.1256,true
HiddenCover,1048576,0.001,1049,clustered,3,19,720,0.08660000000000001,true
HiddenCover,1048576,0.001,1049,clustered,4,21,784,0.085,true
HiddenCover,1048576,0.001,1049,clustered,5,18,688,0.128,true
HiddenCover,1048576,0.001,1049,clustered,6,21,784,0.08739999999999999,true
HiddenCover,1048576,0.001,1049,clustered,7,23,848,0.0969,true
HiddenCover,1048576,0.001,1049,clustered,8,21,784,0.1382,true
HiddenCover,1048576,0.001,1049,clustered,9,19,720,0.0993,true
HiddenCover,1048576,0.001,1049,clustered,10,20,752,0.09050000000000001,true
HiddenCover,1048576,0.001,1049,clustered,11,19,720,0.0871,true
HiddenCover,1048576,0.001,1049,clustered,12,18,688,0.08940000000000001,true
HiddenCover,1048576,0.001,1049,clustered,13,21,784,0.0975,true
HiddenCover,1048576,0.001,1049,clustered,14,19,720,0.0992,true
HiddenCover,1048576,0.001,1049,clustered,15,17,656,0.11900000000000001,true
HiddenCover,1048576,0.001,1049,clustered,16,20,752,0.1004,true
HiddenCover,1048576,0.001,1049,clustered,17,20,752,0.0937,true
HiddenCover,1048576,0.001,1049,clustered,18,20,752,0.0914,true
HiddenCover,1048576,0.001,1049,clustered,19,20,752,0.0945,true
HiddenCover,1048576,0.001,1049,random,0,9620,307952,8.0668,true
HiddenCover,1048576,0.001,1049,random,1,9511,304464,7.8843000000000005,true
HiddenCover,1048576,0.001,1049,random,2,9514,304560,8.0088,true
HiddenCover,1048576,0.001,1049,random,3,9446,302384,7.913200000000001,true
HiddenCover,1048576,0.001,1049,random,4,9509,304400,8.5538,true
HiddenCover,1048576,0.001,1049,random,5,9510,304432,7.9877,true
HiddenCover,1048576,0.001,1049,random,6,9585,306832,8.8842,true
HiddenCover,1048576,0.001,1049,random,7,9494,303920,9.5607,true
HiddenCover,1048576,0.001,1049,random,8,9492,303856,8.774600000000001,true
HiddenCover,1048576,0.001,1049,random,9,9600,307312,8.2683,true
HiddenCover,1048576,0.001,1049,random,10,9598,307248,8.1799,true
HiddenCover,1048576,0.001,1049,random,11,9510,304432,7.744400000000001,true
HiddenCover,1048576,0.001,1049,random,12,9452,302576,7.8614,true
HiddenCover,1048576,0.001,1049,random,13,9521,304784,7.9048,true
HiddenCover,1048576,0.001,1049,random,14,9576,306544,8.0012,true
HiddenCover,1048576,0.001,1049,random,15,9480,303472,8.009799999999998,true
HiddenCover,1048576,0.001,1049,random,16,9458,302768,8.848099999999999,true
HiddenCover,1048576,0.001,1049,random,17,9486,303664,9.7174,true
HiddenCover,1048576,0.001,1049,random,18,9522,304816,9.6594,true
HiddenCover,1048576,0.001,1049,random,19,9432,301936,9.727400000000001,true
HiddenCover,1048576,0.001,1049,dispersed,0,10440,334192,10.114700000000001,true
HiddenCover,1048576,0.001,1049,dispersed,1,10440,334192,10.2646,true
HiddenCover,1048576,0.001,1049,dispersed,2,10440,334192,9.677299999999999,true
HiddenCover,1048576,0.001,1049,dispersed,3,10440,334192,9.6885,true
HiddenCover,1048576,0.001,1049,dispersed,4,10440,334192,9.9437,true
HiddenCover,1048576,0.001,1049,dispersed,5,10440,334192,9.855300000000002,true
HiddenCover,1048576,0.001,1049,dispersed,6,10440,334192,10.2317,true
HiddenCover,1048576,0.001,1049,dispersed,7,10440,334192,10.5115,true
HiddenCover,1048576,0.001,1049,dispersed,8,10440,334192,10.135200000000001,true
HiddenCover,1048576,0.001,1049,dispersed,9,10440,334192,9.6078,true
HiddenCover,1048576,0.001,1049,dispersed,10,10440,334192,9.6946,true
HiddenCover,1048576,0.001,1049,dispersed,11,10440,334192,10.0271,true
HiddenCover,1048576,0.001,1049,dispersed,12,10440,334192,9.4549,true
HiddenCover,1048576,0.001,1049,dispersed,13,10440,334192,10.1752,true
HiddenCover,1048576,0.001,1049,dispersed,14,10440,334192,12.5445,true
HiddenCover,1048576,0.001,1049,dispersed,15,10440,334192,9.2674,true
HiddenCover,1048576,0.001,1049,dispersed,16,10440,334192,10.8767,true
HiddenCover,1048576,0.001,1049,dispersed,17,10440,334192,9.1349,true
HiddenCover,1048576,0.001,1049,dispersed,18,10440,334192,9.0397,true
HiddenCover,1048576,0.001,1049,dispersed,19,10440,334192,9.4956,true
HiddenCover,1048576,0.01,10486,clustered,0,19,720,0.4255,true
HiddenCover,1048576,0.01,10486,clustered,1,19,720,0.37770000000000004,true
HiddenCover,1048576,0.01,10486,clustered,2,24,880,0.4063,true
HiddenCover,1048576,0.01,10486,clustered,3,20,752,0.4623,true
HiddenCover,1048576,0.01,10486,clustered,4,16,624,0.4061,true
HiddenCover,1048576,0.01,10486,clustered,5,21,784,0.4063,true
HiddenCover,1048576,0.01,10486,clustered,6,16,624,0.5963999999999999,true
HiddenCover,1048576,0.01,10486,clustered,7,19,720,0.4057,true
HiddenCover,1048576,0.01,10486,clustered,8,22,816,0.40349999999999997,true
HiddenCover,1048576,0.01,10486,clustered,9,16,624,0.40349999999999997,true
HiddenCover,1048576,0.01,10486,clustered,10,23,848,0.42210000000000003,true
HiddenCover,1048576,0.01,10486,clustered,11,20,752,0.4037,true
HiddenCover,1048576,0.01,10486,clustered,12,23,848,0.406,true
HiddenCover,1048576,0.01,10486,clustered,13,18,688,0.4395,true
HiddenCover,1048576,0.01,10486,clustered,14,21,784,0.416,true
HiddenCover,1048576,0.01,10486,clustered,15,19,720,0.4027,true
HiddenCover,1048576,0.01,10486,clustered,16,21,784,0.4308,true
HiddenCover,1048576,0.01,10486,clustered,17,23,848,0.4022,true
HiddenCover,1048576,0.01,10486,clustered,18,25,912,0.4054,true
HiddenCover,1048576,0.01,10486,clustered,19,21,784,0.719,true
HiddenCover,1048576,0.01,10486,random,0,60768,1944688,40.9286,true
HiddenCover,1048576,0.01,10486,random,1,60723,1943248,41.330600000000004,true
HiddenCover,1048576,0.01,10486,random,2,60849,1947280,53.4863,true
HiddenCover,1048576,0.01,10486,random,3,60780,1945072,41.659,true
HiddenCover,1048576,0.01,10486,random,4,60797,1945616,47.555,true
HiddenCover,1048576,0.01,10486,random,5,60807,1945936,40.251799999999996,true
HiddenCover,1048576,0.01,10486,random,6,60624,1940080,40.7332,true
HiddenCover,1048576,0.01,10486,random,7,60705,1942672,43.8677,true
HiddenCover,1048576,0.01,10486,random,8,60737,1943696,48.5174,true
HiddenCover,1048576,0.01,10486,random,9,60574,1938480,46.301500000000004,true
HiddenCover,1048576,0.01,10486,random,10,60900,1948912,44.5377,true
HiddenCover,1048576,0.01,10486,random,11,60744,1943920,43.4639,true
HiddenCover,1048576,0.01,10486,random,12,60829,1946640,41.8227,true
HiddenCover,1048576,0.01,10486,random,13,60887,1948496,39.735600000000005,true
HiddenCover,1048576,0.01,10486,random,14,60801,1945744,40.6134,true
HiddenCover,1048576,0.01,10486,random,15,60775,1944912,48.7693,true
HiddenCover,1048576,0.01,10486,random,16,60648,1940848,41.5411,true
HiddenCover,1048576,0.01,10486,random,17,60691,1942224,45.9276,true
HiddenCover,1048576,0.01,10486,random,18,60635,1940432,44.878,true
HiddenCover,1048576,0.01,10486,random,19,60733,1943568,46.673399999999994,true
HiddenCover,1048576,0.01,10486,dispersed,0,68814,2202160,47.8508,true
HiddenCover,1048576,0.01,10486,dispersed,1,68814,2202160,44.2012,true
HiddenCover,1048576,0.01,10486,dispersed,2,68814,2202160,44.2532,true
HiddenCover,1048576,0.01,10486,dispersed,3,68814,2202160,48.8155,true
HiddenCover,1048576,0.01,10486,dispersed,4,68814,2202160,48.0908,true
HiddenCover,1048576,0.01,10486,dispersed,5,68814,2202160,45.3806,true
HiddenCover,1048576,0.01,10486,dispersed,6,68814,2202160,43.2656,true
HiddenCover,1048576,0.01,10486,dispersed,7,68814,2202160,45.3481,true
HiddenCover,1048576,0.01,10486,dispersed,8,68814,2202160,50.1273,true
HiddenCover,1048576,0.01,10486,dispersed,9,68814,2202160,45.9136,true
HiddenCover,1048576,0.01,10486,dispersed,10,68814,2202160,61.7368,true
HiddenCover,1048576,0.01,10486,dispersed,11,68814,2202160,48.747600000000006,true
HiddenCover,1048576,0.01,10486,dispersed,12,68814,2202160,44.914500000000004,true
HiddenCover,1048576,0.01,10486,dispersed,13,68814,2202160,46.09739999999999,true
HiddenCover,1048576,0.01,10486,dispersed,14,68814,2202160,47.173899999999996,true
HiddenCover,1048576,0.01,10486,dispersed,15,68814,2202160,44.2934,true
HiddenCover,1048576,0.01,10486,dispersed,16,68814,2202160,46.912,true
HiddenCover,1048576,0.01,10486,dispersed,17,68814,2202160,45.7324,true
HiddenCover,1048576,0.01,10486,dispersed,18,68814,2202160,45.1936,true
HiddenCover,1048576,0.01,10486,dispersed,19,68814,2202160,45.201100000000004,true
HiddenCover,1048576,0.05,52429,clustered,0,20,752,3.7116,true
HiddenCover,1048576,0.05,52429,clustered,1,15,592,1.8535,true
HiddenCover,1048576,0.05,52429,clustered,2,23,848,2.5846,true
HiddenCover,1048576,0.05,52429,clustered,3,23,848,1.8563,true
HiddenCover,1048576,0.05,52429,clustered,4,20,752,1.843,true
HiddenCover,1048576,0.05,52429,clustered,5,20,752,1.8995,true
HiddenCover,1048576,0.05,52429,clustered,6,17,656,1.7411,true
HiddenCover,1048576,0.05,52429,clustered,7,19,720,2.4302,true
HiddenCover,1048576,0.05,52429,clustered,8,20,752,1.7796999999999998,true
HiddenCover,1048576,0.05,52429,clustered,9,24,880,1.782,true
HiddenCover,1048576,0.05,52429,clustered,10,19,720,1.9424,true
HiddenCover,1048576,0.05,52429,clustered,11,19,720,1.7488,true
HiddenCover,1048576,0.05,52429,clustered,12,21,784,2.3072,true
HiddenCover,1048576,0.05,52429,clustered,13,22,816,1.7586,true
HiddenCover,1048576,0.05,52429,clustered,14,15,592,1.7906,true
HiddenCover,1048576,0.05,52429,clustered,15,20,752,1.8537,true
HiddenCover,1048576,0.05,52429,clustered,16,24,880,1.7379,true
HiddenCover,1048576,0.05,52429,clustered,17,25,912,1.8294,true
HiddenCover,1048576,0.05,52429,clustered,18,18,688,1.7843,true
HiddenCover,1048576,0.05,52429,clustered,19,25,912,2.0816,true
HiddenCover,1048576,0.05,52429,random,0,186686,5974064,117.8155,true
HiddenCover,1048576,0.05,52429,random,1,186940,5982192,135.3047,true
HiddenCover,1048576,0.05,52429,random,2,186305,5961872,130.61159999999998,true
HiddenCover,1048576,0.05,52429,random,3,186989,5983760,118.7831,true
HiddenCover,1048576,0.05,52429,random,4,186773,5976848,119.696,true
HiddenCover,1048576,0.05,52429,random,5,186530,5969072,128.2592,true
HiddenCover,1048576,0.05,52429,random,6,186627,5972176,135.5984,true
HiddenCover,1048576,0.05,52429,random,7,186525,5968912,117.02669999999999,true
HiddenCover,1048576,0.05,52429,random,8,186414,5965360,115.1049,true
HiddenCover,1048576,0.05,52429,random,9,186316,5962224,115.6214,true
HiddenCover,1048576,0.05,52429,random,10,186376,5964144,121.04719999999999,true
HiddenCover,1048576,0.05,52429,random,11,186624,5972080,125.9052,true
HiddenCover,1048576,0.05,52429,random,12,186648,5972848,121.9702,true
HiddenCover,1048576,0.05,52429,random,13,186553,5969808,124.2779,true
HiddenCover,1048576,0.05,52429,random,14,187088,5986928,117.6078,true
HiddenCover,1048576,0.05,52429,random,15,186694,5974320,123.44529999999999,true
HiddenCover,1048576,0.05,52429,random,16,186571,5970384,161.95940000000002,true
HiddenCover,1048576,0.05,52429,random,17,186727,5975376,142.9706,true
HiddenCover,1048576,0.05,52429,random,18,186775,5976912,125.03970000000001,true
HiddenCover,1048576,0.05,52429,random,19,186971,5983184,127.7479,true
HiddenCover,1048576,0.05,52429,dispersed,0,222823,7130448,159.2373,true
HiddenCover,1048576,0.05,52429,dispersed,1,222823,7130448,134.69310000000002,true
HiddenCover,1048576,0.05,52429,dispersed,2,222823,7130448,133.52100000000002,true
HiddenCover,1048576,0.05,52429,dispersed,3,222823,7130448,133.0745,true
HiddenCover,1048576,0.05,52429,dispersed,4,222823,7130448,135.7057,true
HiddenCover,1048576,0.05,52429,dispersed,5,222823,7130448,141.97969999999998,true
HiddenCover,1048576,0.05,52429,dispersed,6,222823,7130448,137.0174,true
HiddenCover,1048576,0.05,52429,dispersed,7,222823,7130448,135.07469999999998,true
HiddenCover,1048576,0.05,52429,dispersed,8,222823,7130448,140.1344,true
HiddenCover,1048576,0.05,52429,dispersed,9,222823,7130448,135.8304,true
HiddenCover,1048576,0.05,52429,dispersed,10,222823,7130448,138.0718,true
HiddenCover,1048576,0.05,52429,dispersed,11,222823,7130448,146.24360000000001,true
HiddenCover,1048576,0.05,52429,dispersed,12,222823,7130448,142.1011,true
HiddenCover,1048576,0.05,52429,dispersed,13,222823,7130448,172.4955,true
HiddenCover,1048576,0.05,52429,dispersed,14,222823,7130448,136.04459999999997,true
HiddenCover,1048576,0.05,52429,dispersed,15,222823,7130448,148.2377,true
HiddenCover,1048576,0.05,52429,dispersed,16,222823,7130448,153.306,true
HiddenCover,1048576,0.05,52429,dispersed,17,222823,7130448,142.5204,true
HiddenCover,1048576,0.05,52429,dispersed,18,222823,7130448,139.96959999999999,true
HiddenCover,1048576,0.05,52429,dispersed,19,222823,7130448,137.55100000000002,true
HiddenCover,1048576,0.1,104858,clustered,0,20,752,4.731800000000001,true
HiddenCover,1048576,0.1,104858,clustered,1,14,560,4.053,true
HiddenCover,1048576,0.1,104858,clustered,2,29,1040,5.440300000000001,true
HiddenCover,1048576,0.1,104858,clustered,3,23,848,4.4786,true
HiddenCover,1048576,0.1,104858,clustered,4,23,848,4.8829,true
HiddenCover,1048576,0.1,104858,clustered,5,20,752,5.5991,true
HiddenCover,1048576,0.1,104858,clustered,6,27,976,5.9054,true
HiddenCover,1048576,0.1,104858,clustered,7,22,816,6.0484,true
HiddenCover,1048576,0.1,104858,clustered,8,18,688,3.9964,true
HiddenCover,1048576,0.1,104858,clustered,9,20,752,4.5062,true
HiddenCover,1048576,0.1,104858,clustered,10,16,624,4.9521,true
HiddenCover,1048576,0.1,104858,clustered,11,22,816,4.2836,true
HiddenCover,1048576,0.1,104858,clustered,12,14,560,4.890000000000001,true
HiddenCover,1048576,0.1,104858,clustered,13,19,720,4.1552999999999995,true
HiddenCover,1048576,0.1,104858,clustered,14,16,624,4.536499999999999,true
HiddenCover,1048576,0.1,104858,clustered,15,20,752,4.247800000000001,true
HiddenCover,1048576,0.1,104858,clustered,16,21,784,4.3381,true
HiddenCover,1048576,0.1,104858,clustered,17,20,752,4.8481000000000005,true
HiddenCover,1048576,0.1,104858,clustered,18,18,688,4.160900000000001,true
HiddenCover,1048576,0.1,104858,clustered,19,26,944,4.896,true
HiddenCover,1048576,0.1,104858,random,0,277264,8872560,178.47979999999998,true
HiddenCover,1048576,0.1,104858,random,1,277667,8885456,184.7211,true
HiddenCover,1048576,0.1,104858,random,2,277067,8866256,189.8382,true
HiddenCover,1048576,0.1,104858,random,3,277083,8866768,172.4123,true
HiddenCover,1048576,0.1,104858,random,4,277156,8869104,180.40030000000002,true
HiddenCover,1048576,0.1,104858,random,5,278117,8899856,187.10170000000002,true
HiddenCover,1048576,0.1,104858,random,6,276965,8862992,185.90789999999998,true
HiddenCover,1048576,0.1,104858,random,7,277415,8877392,198.9168,true
HiddenCover,1048576,0.1,104858,random,8,277455,8878672,174.34359999999998,true
HiddenCover,1048576,0.1,104858,random,9,277646,8884784,179.1036,true
HiddenCover,1048576,0.1,104858,random,10,277322,8874416,179.3687,true
HiddenCover,1048576,0.1,104858,random,11,277473,8879248,177.56040000000002,true
HiddenCover,1048576,0.1,104858,random,12,276930,8861872,180.764,true
HiddenCover,1048576,0.1,104858,random,13,277144,8868720,177.6275,true
HiddenCover,1048576,0.1,104858,random,14,277062,8866096,183.6667,true
