scheme,capacity,rate,revoked,measurement,public_state_bytes,authority_refresh_ms,token_bytes,verified
zkRevoke,1000000,0.001,1000,0,32016,14.188800,32,true
zkRevoke,1000000,0.001,1000,1,32016,15.574300,32,true
zkRevoke,1000000,0.001,1000,2,32016,13.502100,32,true
zkRevoke,1000000,0.001,1000,3,32016,14.522400,32,true
zkRevoke,1000000,0.001,1000,4,32016,16.020300,32,true
zkRevoke,1000000,0.001,1000,5,32016,13.323200,32,true
zkRevoke,1000000,0.001,1000,6,32016,14.138400,32,true
zkRevoke,1000000,0.001,1000,7,32016,14.431800,32,true
zkRevoke,1000000,0.001,1000,8,32016,13.490600,32,true
zkRevoke,1000000,0.001,1000,9,32016,14.028100,32,true
zkRevoke,1000000,0.001,1000,10,32016,14.532200,32,true
zkRevoke,1000000,0.001,1000,11,32016,17.222300,32,true
zkRevoke,1000000,0.001,1000,12,32016,15.047600,32,true
zkRevoke,1000000,0.001,1000,13,32016,15.441800,32,true
zkRevoke,1000000,0.001,1000,14,32016,14.792300,32,true
zkRevoke,1000000,0.001,1000,15,32016,13.520000,32,true
zkRevoke,1000000,0.001,1000,16,32016,12.538000,32,true
zkRevoke,1000000,0.001,1000,17,32016,13.020300,32,true
zkRevoke,1000000,0.001,1000,18,32016,13.532700,32,true
zkRevoke,1000000,0.001,1000,19,32016,17.552800,32,true
zkRevoke,1000000,0.001,1000,20,32016,16.110800,32,true
zkRevoke,1000000,0.001,1000,21,32016,15.005600,32,true
zkRevoke,1000000,0.001,1000,22,32016,14.232800,32,true
zkRevoke,1000000,0.001,1000,23,32016,16.195100,32,true
zkRevoke,1000000,0.001,1000,24,32016,14.347000,32,true
zkRevoke,1000000,0.001,1000,25,32016,15.557800,32,true
zkRevoke,1000000,0.001,1000,26,32016,16.119600,32,true
zkRevoke,1000000,0.001,1000,27,32016,17.119500,32,true
zkRevoke,1000000,0.001,1000,28,32016,12.449500,32,true
zkRevoke,1000000,0.001,1000,29,32016,14.003300,32,true
zkRevoke,1000000,0.010,10000,0,320016,144.238500,32,true
zkRevoke,1000000,0.010,10000,1,320016,154.878200,32,true
zkRevoke,1000000,0.010,10000,2,320016,148.368200,32,true
zkRevoke,1000000,0.010,10000,3,320016,143.578800,32,true
zkRevoke,1000000,0.010,10000,4,320016,153.513600,32,true
zkRevoke,1000000,0.010,10000,5,320016,148.274700,32,true
zkRevoke,1000000,0.010,10000,6,320016,153.286300,32,true
zkRevoke,1000000,0.010,10000,7,320016,153.007900,32,true
