scheme,m,k,revoked,measurement,protocol_payload_bytes,json_wire_bytes,proof_bytes,show_ms,verify_ms,verified
zkRevoke,1,1,10000,0,284,1244,164,59.584400,0.997700,true
zkRevoke,1,1,10000,1,284,1244,164,51.524900,1.397500,true
zkRevoke,1,1,10000,2,284,1244,164,52.561500,0.992100,true
zkRevoke,1,1,10000,3,284,1244,164,54.047500,0.991600,true
zkRevoke,1,1,10000,4,284,1244,164,52.935200,2.000000,true
zkRevoke,1,1,10000,5,284,1244,164,52.747300,0.999900,true
zkRevoke,1,1,10000,6,284,1244,164,55.497800,0.991600,true
zkRevoke,1,1,10000,7,284,1244,164,52.181900,1.947300,true
zkRevoke,1,1,10000,8,284,1244,164,54.729600,1.001800,true
zkRevoke,1,1,10000,9,284,1244,164,51.904500,0.991300,true
zkRevoke,1,1,10000,10,284,1244,164,55.023000,2.002800,true
zkRevoke,1,1,10000,11,284,1244,164,50.247400,0.999100,true
zkRevoke,1,1,10000,12,284,1244,164,49.894700,0.999200,true
zkRevoke,1,1,10000,13,284,1244,164,54.075100,0.993100,true
zkRevoke,1,1,10000,14,284,1244,164,55.796800,0.996900,true
zkRevoke,1,1,10000,15,284,1244,164,50.048300,1.566700,true
zkRevoke,1,1,10000,16,284,1244,164,54.649400,0.993500,true
zkRevoke,1,1,10000,17,284,1244,164,52.579800,1.000300,true
zkRevoke,1,1,10000,18,284,1244,164,55.297500,0.992200,true
zkRevoke,1,1,10000,19,284,1244,164,55.747300,1.000800,true
zkRevoke,1,1,10000,20,284,1244,164,52.549300,0.991700,true
zkRevoke,1,1,10000,21,284,1244,164,50.937700,0.942600,true
zkRevoke,1,1,10000,22,284,1244,164,52.567000,1.006000,true
zkRevoke,1,1,10000,23,284,1244,164,54.224400,1.507600,true
zkRevoke,1,1,10000,24,284,1244,164,51.612100,0.999900,true
zkRevoke,1,1,10000,25,284,1244,164,50.673900,0.875000,true
zkRevoke,1,1,10000,26,284,1244,164,49.392900,0.945000,true
zkRevoke,1,1,10000,27,284,1244,164,54.925400,1.000000,true
zkRevoke,1,1,10000,28,284,1244,164,52.717200,2.371600,true
zkRevoke,1,1,10000,29,284,1244,164,55.777900,0.999500,true
